Code postal;Numéro;Implantation;Rue croisement 1;Rue croisement 2;Rue croisement 3;Précision de l’implantation;Date de mise en service
75004;04058;Rue de Sully, boulevard Henri IV;Rue de Sully; boulevard Henri IV;;croisement;08/07/16
75004;04051;Rue des Francs Bourgeois, rue Vieille du Temple;Rue des Francs Bourgeois; rue Vieille du Temple;;croisement;24/11/16
75004;66378;Rue des Rosiers, rue Vieille du Temple;Rue des Rosiers; rue Vieille du Temple;;croisement;09/03/12
75004;96036;Rue du Petit Musc, rue Saint-Antoine;Rue du Petit Musc; rue Saint-Antoine;;croisement;21/12/11
75004;60044;Rue Nonnains d'Hyères, rue Charlemagne;Rue Nonnains d'Hyères; rue Charlemagne;;croisement;23/03/12
75004;11218;Rue Rambuteau, rue Beaubourg;Rue Rambuteau; rue Beaubourg;;croisement;21/12/11
75004;19726;Rue Saint-Antoine, rue de Sévigné;Rue Saint-Antoine; rue de Sévigné;;croisement;03/02/12
75004;65370;Toit de l'Hôtel de Ville;;;;point décrit;03/08/12
75005;63441;81, boulevard de Port-Royal;;;;adresse précise;15/06/12
75005;20669;Boulevard Saint-Germain, quai de la Tournelle;Boulevard Saint-Germain; quai de la Tournelle;;croisement;13/04/12
75005;53322;Boulevard Saint-Germain, rue Saint-Jacques;Boulevard Saint-Germain; rue Saint-Jacques;;croisement;21/12/12
75005;61991;Boulevard Saint-Michel, boulevard Saint- Germain;Boulevard Saint-Michel; boulevard Saint- Germain;;croisement;15/06/12
75005;38623;Boulevard Saint-Michel, place de laSorbonne;Boulevard Saint-Michel; place de laSorbonne;;croisement;03/02/12
75005;39271;Boulevard Saint-Michel, rue Soufflot;Boulevard Saint-Michel; rue Soufflot;;croisement;27/01/12
75005;53679;Boulevard Saint-Michel, place Louis Marin;Boulevard Saint-Michel; place Louis Marin;;croisement;28/09/12
75005;65680;Place du Panthéon, rue d'Ulm, rue Clotaire;Place du Panthéon; rue d'Ulm; rue Clotaire;croisement;21/12/11
75005;15242;Place Maubert;;;;adresse imprécise;03/02/12
75005;69567;Place Saint-Michel, pont Saint-Michel;Place Saint-Michel; pont Saint-Michel;;croisement;29/03/13
75005;54992;Pont de Sully, quai Tournelle;Pont de Sully; quai Tournelle;;croisement;20/04/12
75005;96233;Pont Saint-Michel rive gauche en aval — Seine;;;;point décrit;29/03/13
75005;65348;Quai de Montebello, rue du Petit Pont;Quai de Montebello; rue du Petit Pont;;croisement;01/02/13
75005;12312;Rue Blainville, place de la Contrescarpe;Rue Blainville; place de la Contrescarpe;;croisement;19/10/12
75005;5057;Rue Claude Bernard, rue Vauquelin;Rue Claude Bernard; rue Vauquelin;;croisement;21/09/16
75005;43043;Rue de la Harpe, rue de la Huchette;Rue de la Harpe; rue de la Huchette;;croisement;18/01/13
75005;92343;Rue des Bernardins, quai de la Tournelle;Rue des Bernardins; quai de la Tournelle;;croisement;21/12/11
75005;5051;Rue du Fouarre, rue Lagrange;Rue du Fouarre; rue Lagrange;;croisement;21/12/16
75005;50581;Rue Linné, rue des Boulangers;Rue Linné; rue des Boulangers;;croisement;03/02/12
75005;76722;Rue Monge, rue Larrey;Rue Monge; rue Larrey;;croisement;10/02/12
75005;96546;Rue Monge, rue Censier;Rue Monge; rue Censier;;croisement;24/02/12
75005;50044;Rue Mouffetard, rue de l'Epée de Bois;Rue Mouffetard; rue de l'Epée de Bois;;croisement;18/05/12
75005;5058;Rue Pierre Nicole, rue du Val de Grâce;Rue Pierre Nicole; rue du Val de Grâce;;croisement;30/09/16
75005;5054;Rue Poliveau, rue Geoffroy Saint-Hilaire;Rue Poliveau; rue Geoffroy Saint-Hilaire;;croisement;22/07/16
75005;62185;Rue Saint-Jacques, rue Gay Lussac;Rue Saint-Jacques; rue Gay Lussac;;croisement;21/12/11
75005;50850;Rue Saint-Jacques, rue des Ecoles;Rue Saint-Jacques; rue des Ecoles;;croisement;21/12/11
75005;73849;Rue Saint-Julien le Pauvre, rue Galande;Rue Saint-Julien le Pauvre; rue Galande;;croisement;25/05/12
75005;48902;Square Tino Rossi;;;;adresse imprécise;18/01/13
75005;58021;Square Tino Rossi, quai Saint-Bernard;Square Tino Rossi; quai Saint-Bernard;;croisement;06/07/12
75006;13067;Boulevard Raspail, rue de Rennes;Boulevard Raspail; rue de Rennes;;croisement;18/05/12
75006;41562;Boulevard Raspail, boulevard du Montparnasse;Boulevard Raspail; boulevard du Montparnasse;;croisement;25/05/12
75006;11093;Boulevard Saint-Germain, place Saint-Germain-des-Prés;Boulevard Saint-Germain; place Saint-Germain-des-Prés;;croisement;30/03/12
75006;23489;Boulevard Saint-Germain, rue de l'Ecole de Médecine;Boulevard Saint-Germain; rue de l'Ecole de Médecine;;croisement;10/02/12
75006;11106;Boulevard Saint-Michel, rue Serpente;Boulevard Saint-Michel; rue Serpente;;croisement;19/10/12
75006;27809;Place de l'Acadie, rue de Buci, boulevard Saint-Germain;Place de l'Acadie; rue de Buci; boulevard Saint-Germain;croisement;25/05/12
75006;61344;Place de l'Institut;;;;adresse imprécise;25/05/12
75006;69103;Place du 18 Juin 1940, rue de Rennes;Place du 18 Juin 1940; rue de Rennes;;croisement;24/02/12
75006;57429;Place Henri Mondor — boulevard Saint- Germain, rue de l'Odéon;Place Henri Mondor — boulevard Saint- Germain; rue de l'Odéon;;croisement;30/03/12
75006;27767;Pont Neuf, rive Gauche;Pont Neuf; rive Gauche;;croisement;20/01/12
75006;31195;Quai de Conti, pont Neuf;Quai de Conti; pont Neuf;;croisement;17/02/12
75006;86313;Quai Malaquais, rue Bonaparte;Quai Malaquais; rue Bonaparte;;croisement;21/12/11
75006;06034;Rue Auguste Comte, avenue de l'Observatoire, place André Honorat;Rue Auguste Comte; avenue de l'Observatoire; place André Honorat;croisement;09/09/16
75006;26704;Rue d'Assas, rue de Rennes;Rue d'Assas; rue de Rennes;;croisement;21/09/12
75006;29482;Rue d'Assas, rue Auguste Comte;Rue d'Assas; rue Auguste Comte;;croisement;24/08/12
75006;35348;Rue de l'Ecole de Médecine, boulevard Saint-Michel, rue Racine;Rue de l'Ecole de Médecine; boulevard Saint-Michel; rue Racine;croisement;08/06/12
75006;10124;Rue de Rennes, rue de Vaugirard;Rue de Rennes; rue de Vaugirard;;croisement;18/05/12
75006;93838;Rue de Rennes, rue du Four;Rue de Rennes; rue du Four;;croisement;11/05/12
75006;43190;Rue de Sèvres, boulevard Raspail;Rue de Sèvres; boulevard Raspail;;croisement;23/03/12
75006;64061;Rue de Vaugirard, boulevard Raspail;Rue de Vaugirard; boulevard Raspail;;croisement;15/06/12
75006;24647;Rue des Saints-Pères, boulevard Saint-Germain;Rue des Saints-Pères; boulevard Saint-Germain;;croisement;inconnue
75006;30579;Rue du Four, rue du Cherche Midi;Rue du Four; rue du Cherche Midi;;croisement;23/03/12
75006;91297;Rue du Vieux Colombier, rue du Cherche Midi;Rue du Vieux Colombier; rue du Cherche Midi;;croisement;18/05/12
75006;98526;Rue du Vieux Colombier, rue Bonaparte;Rue du Vieux Colombier; rue Bonaparte;;croisement;21/12/11
75006;64111;Rue Monsieur Le Prince, rue Racine;Rue Monsieur Le Prince; rue Racine;;croisement;17/02/12
75006;63215;Rue Saint-André des Arts, place Saint- Michel;Rue Saint-André des Arts; place Saint- Michel;;croisement;21/12/11
75007;52733;Assemblée Nationale;;;;point décrit;17/08/12
75007;07089;Avenue Charles Risler, allée Pierre Loti;Avenue Charles Risler; allée Pierre Loti;;croisement;27/05/16
75007;58390;Avenue de la Motte Picquet, rue Cler;Avenue de la Motte Picquet; rue Cler;;croisement;27/04/12
75007;52217;Avenue de Suffren, avenue Joseph Bouvard;Avenue de Suffren; avenue Joseph Bouvard;;croisement;13/01/12
75007;55428;Avenue de Tourville, avenue de Ségur;Avenue de Tourville; avenue de Ségur;;croisement;17/02/12
75007;56154;Avenue de Tourville, avenue de Villars;Avenue de Tourville; avenue de Villars;;croisement;10/02/12
75007;07090;Avenue du Docteur Brouardel, alléeThomy Thierry;Avenue du Docteur Brouardel; allée Thomy Thierry;;croisement;27/05/16
75007;34479;Avenue du Général Détrié, avenue Charles Floquet;Avenue du Général Détrié; avenue Charles Floquet;;croisement;20/07/12
75007;33282;Avenue du Maréchal Galliéni, rue de l'Université;Avenue du Maréchal Galliéni; rue de l'Université;;croisement;27/04/12
75007;69173;Avenue Duquesne, avenue de Ségur;Avenue Duquesne; avenue de Ségur;;croisement;03/02/12
75007;59293;Avenue Emile Deschanel, avenue de Belgrade;Avenue Emile Deschanel; avenue de Belgrade;;croisement;20/01/12
75007;17567;Avenue Saxe, avenue Breteuil (place de Breteuil);Avenue Saxe; avenue Breteuil (place de Breteuil);;croisement;03/02/12
75007;75099;Avenue Saxe, avenue Breteuil (place de Breteuil);Avenue Saxe; avenue Breteuil (place de Breteuil);;croisement;27/01/12
75007;21909;Boulevard de la Tour Maubourg, rue de l'Université;Boulevard de la Tour Maubourg; rue de l'Université;;croisement;14/06/13
75007;60800;Boulevard des Invalides, rue de Varenne;Boulevard des Invalides; rue de Varenne;;croisement;13/07/12
75007;69064;Boulevard des Invalides, avenue de Tourville;Boulevard des Invalides; avenue de Tourville;;croisement;11/05/12
75007;83784;Mail Branly, Passerelle Débilly;Mail Branly; Passerelle Débilly;;croisement;13/01/12
75007;10583;Pilier Est de la Tour Eiffel;;;;point décrit;15/06/12
75007;86298;Pilier Sud de la Tour Eiffel;;;;point décrit;06/07/12
75007;18769;Place André Tardieu;;;;adresse imprécise;24/02/12
75007;38775;Place de la Résistance;;;;adresse imprécise;21/12/11
75007;53718;Place du Général Gouraud;;;;adresse imprécise;21/09/12
75007;83731;Place du Palais Bourbon;;;;adresse imprécise;30/03/12
75007;56074;Place Jacques Rueff;;;;adresse imprécise;21/09/12
75007;71658;Place Joffre;;;;adresse imprécise;27/01/12
75007;11361;Place Saint-Thomas d'Aquin, rue Saint-Thomas d'Aquin;Place Saint-Thomas d'Aquin; rue Saint-Thomas d'Aquin;;croisement;24/02/12
75007;93957;Place Vauban;;;;adresse imprécise;27/04/12
75007;46990;Pont Alexandre III, quai Anatole France;Pont Alexandre III; quai Anatole France;;croisement;21/09/12
75007;72958;Pont de la Concorde, quai Anatole France;Pont de la Concorde; quai Anatole France;;croisement;04/05/12
75007;90890;Pont des Invalides (amont) — Seine;;;;point décrit;20/07/12
75007;63877;Port de la Bourdonnais, aval pont de l'Alma — Seine;;;;point décrit;26/07/13
75007;23371;Port de Solférino, niveau Musée de la Légion d'Honneur — Seine;Port de Solférino; niveau Musée de la Légion d'Honneur — Seine;;croisement;26/07/13
75007;66070;Port de Solférino, niveau Musée d'Orsay — Seine;;;;point décrit;26/07/13
75007;78472;Port de Solférino, niveau 23, quai Anatole France — Seine;;;;point décrit;26/07/13
75007;29075;Port des Invalides, aval du pont Alexandre III — Seine;Port des Invalides; aval du pont Alexandre III — Seine;;croisement;13/12/13
75007;60073;Port des Invalides, aval pont de la Concorde — Seine;;;;point décrit;26/07/13
75007;86874;#N/A;;;;point décrit;13/12/13
75007;54776;Port du Gros Caillou, aval pont des Invalides — Seine;;;;point décrit;26/07/13
75007;89776;Port du Gros Caillou;;;;adresse imprécise;22/03/13
75007;71064;Quai Anatole France, Pont Royal;Quai Anatole France; Pont Royal;;croisement;12/10/12
75007;17103;Quai Branly, avenue de Suffren;Quai Branly; avenue de Suffren;;croisement;15/06/12
75007;39992;Quai Branly, pont d'Iéna;Quai Branly; pont d'Iéna;;croisement;10/02/12
75007;76202;Quai Branly trottoir Nord;;;;point décrit;20/07/12
75007;77782;Quai Branly voie Nord;;;;point décrit;19/10/12
75007;07080;Quai d'Orsay, rue Robert Esnault Pelterie;Quai d'Orsay; rue Robert Esnault Pelterie;;croisement;27/05/16
75007;87406;Quai Voltaire, pont du Carrousel;Quai Voltaire; pont du Carrousel;;croisement;25/05/12
75007;07087;Rue de Grenelle, square de La Tour-Maubourg;Rue de Grenelle; square de La Tour-Maubourg;;croisement;07/09/17
75007;31779;Rue de Grenelle, rue de Bellechasse;Rue de Grenelle; rue de Bellechasse;;croisement;23/03/12
75007;69121;Rue de l'Université, rue de Constantine;Rue de l'Université; rue de Constantine;;croisement;16/03/12
75007;56538;Rue de la Comète, rue de Grenelle;Rue de la Comète; rue de Grenelle;;croisement;21/12/11
75007;30736;Rue de Sèvres, rue du Bac;Rue de Sèvres; rue du Bac;;croisement;23/03/12
75007;59729;Rue du Bac, rue de Varenne;Rue du Bac; rue de Varenne;;croisement;27/07/12
75007;20276;Rue Duroc, boulevard des Invalides;Rue Duroc; boulevard des Invalides;;croisement;21/09/12
75007;14157;Rue Saint-Dominique, rue Cler;Rue Saint-Dominique; rue Cler;;croisement;16/11/12
75007;86183;Rue Saint-Dominique, rue Amélie;Rue Saint-Dominique; rue Amélie;;croisement;16/11/12
75008;68828;Avenue de Friedland, rue du Faubourg Saint-Honoré;Avenue de Friedland; rue du Faubourg Saint-Honoré;;croisement;06/07/12
75008;49454;Avenue des Champs Elysées, rue Lincoln;Avenue des Champs Elysées; rue Lincoln;;croisement;21/12/11
75008;63259;Avenue des Champs-Elysées, rue Balzac;Avenue des Champs-Elysées; rue Balzac;;croisement;21/12/11
75008;72824;Avenue des Champs-Elysées, place de la Concorde;Avenue des Champs-Elysées; place de la Concorde;;croisement;15/06/12
75008;08127;Avenue du Faubourg Saint-Honoré, rue Laure Diebold;Avenue du Faubourg Saint-Honoré; rue Laure Diebold;;croisement;19/12/17
75008;16526;Avenue Franklin Roosevelt, Cours de la Reine;Avenue Franklin Roosevelt; Cours de la Reine;;croisement;21/12/12
75008;73532;Avenue George V, avenue des Champs-Elysées;Avenue George V; avenue des Champs-Elysées;;croisement;03/02/12
75008;08115;Avenue George V, rue Pierre 1er de Serbie;Avenue George V; rue Pierre 1er de Serbie;;croisement;20/01/17
75008;08122;Avenue Montaigne, rue du Boccador;Avenue Montaigne; rue du Boccador;;croisement;20/02/17
75008;08129;Avenue Montaigne Nord, rue François 1er;Avenue Montaigne Nord; rue François 1er;;croisement;23/03/17
75008;08130;Avenue Montaigne Sud, rue François 1er;Avenue Montaigne Sud; rue François 1er;;croisement;16/02/17
75008;22916;Avenue Van Dyck;;;;adresse imprécise;09/03/12
75008;97400;Avenue Wagram, rue de Tilsitt;Avenue Wagram; rue de Tilsitt;;croisement;15/06/12
75008;18514;Boulevard des Batignolles, rue de Rome;Boulevard des Batignolles; rue de Rome;;croisement;03/02/12
75008;20956;Boulevard Haussmann, avenue de Messine;Boulevard Haussmann; avenue de Messine;;croisement;29/03/13
75008;98601;Boulevard Haussmann, rue du Havre;Boulevard Haussmann; rue du Havre;;croisement;25/05/12
75008;86086;Boulevard Malesherbes, rue de Lisbonne;Boulevard Malesherbes; rue de Lisbonne;;croisement;04/05/12
75008;97502;Cours de la Reine, avenue Winston Churchill;Cours de la Reine; avenue Winston Churchill;;croisement;21/12/12
75008;14362;Obélisque, place de la Concorde;Obélisque; place de la Concorde;;croisement;14/12/12
75008;97602;Obélisque, place de la Concorde;Obélisque; place de la Concorde;;croisement;21/12/12
75008;97325;Place Charles de Gaulle — Terrasse immeuble Publicis;;;;point décrit;05/10/12
75008;47380;Place Clémenceau;;;;adresse imprécise;27/04/12
75008;41361;Place de Clichy, avenue de Clichy;Place de Clichy; avenue de Clichy;;croisement;25/10/13
75008;19898;Place de Dublin, rue de Saint-Petersbourg;Place de Dublin; rue de Saint-Petersbourg;;croisement;21/12/11
75008;38142;Place de l'Etoile, avenue des Champs- Elysées;Place de l'Etoile; avenue des Champs- Elysées;;croisement;03/08/12
75008;62600;Place de l'Europe, rue de Madrid;Place de l'Europe; rue de Madrid;;croisement;04/05/12
75008;76964;Place de la Concorde, rue Royale;Place de la Concorde; rue Royale;;croisement;07/09/12
75008;94149;Place de la Concorde, avenue Gabriel;Place de la Concorde; avenue Gabriel;;croisement;29/06/12
75008;77583;Place de la Madeleine, rue Royale;Place de la Madeleine; rue Royale;;croisement;22/06/12
75008;20103;Place des Ternes, avenue de Wagram;Place des Ternes; avenue de Wagram;;croisement;01/06/12
75008;45343;Place des Ternes, boulevard de Courcelles;Place des Ternes; boulevard de Courcelles;;croisement;01/06/12
75008;44259;Place Gabriel Péri;;;;adresse imprécise;27/01/12
75008;50968;Place Prosper Boubeaux, rue du Rocher;Place Prosper Boubeaux; rue du Rocher;;croisement;20/04/12
75008;69340;Place République Dominicaine, boulevard de Courcelles, rue Phalsbourg;Place République Dominicaine; boulevard de Courcelles; rue Phalsbourg;croisement;01/06/12
75008;71625;Place Saint-Augustin;;;;adresse imprécise;27/01/12
75008;31281;Rond-point des Champs-Elysées, avenue Matignon;Rond-point des Champs-Elysées; avenue Matignon;;croisement;03/02/12
75008;89055;Rond-point des Champs-Elysées;;;;adresse imprécise;01/06/12
75008;20308;Rue de Berry, rue de Ponthieu;Rue de Berry; rue de Ponthieu;;croisement;10/02/12
75008;87273;Rue de Courcelles, boulevard Haussmann;Rue de Courcelles; boulevard Haussmann;;croisement;29/06/12
75008;63118;Rue de Moscou, rue d'Amsterdam;Rue de Moscou; rue d'Amsterdam;;croisement;24/02/12
75008;40093;Rue de Naples, rue du Général Foy;Rue de Naples; rue du Général Foy;;croisement;21/12/11
75008;39003;Rue de Ponthieu, rue Paul Baudry;Rue de Ponthieu; rue Paul Baudry;;croisement;24/08/12
75008;90317;Rue de Ponthieu, avenue Franklin Roosevelt;Rue de Ponthieu; avenue Franklin Roosevelt;;croisement;13/01/12
75008;61880;Rue du Colisée, avenue des Champs-Elysées;Rue du Colisée; avenue des Champs-Elysées;;croisement;27/01/12
75008;21989;Rue du Général Foy, rue de Naples;Rue du Général Foy; rue de Naples;;croisement;21/12/11
75008;08128;Rue du Rocher, rue de Monceau;Rue du Rocher; rue de Monceau;;croisement;06/10/16
75008;08123;Rue Jean Goujon, rue François 1er;Rue Jean Goujon; rue François 1er;;croisement;20/02/17
75008;58978;Rue la Boétie, rue d'Artois;Rue la Boétie; rue d'Artois;;croisement;21/09/12
75008;08126;Rue Laure Diebold, rue Louis de Funès;Rue Laure Diebold; rue Louis de Funès;;croisement;inconnue
75008;56883;Rue Marbeuf, avenue des Champs-Elysées;Rue Marbeuf; avenue des Champs-Elysées;;croisement;11/01/12
75008;08118;Rue Marbeuf, avenue George V;Rue Marbeuf; avenue George V;;croisement;07/10/16
75008;64811;Rue Pierre Charron, avenue des Champs-Elysées;Rue Pierre Charron; avenue des Champs-Elysées;;croisement;11/05/12
75008;08102;Rue Rocher, rue de Laborde, rue Joseph Sansbœuf;Rue Rocher; rue de Laborde; rue Joseph Sansbœuf;croisement;06/09/18
75008;61079;Rue Saint-Lazare, rue d'Amsterdam;Rue Saint-Lazare; rue d'Amsterdam;;croisement;22/06/12
75009;49535;Boulevard de Clichy, place Pigalle Ouest;Boulevard de Clichy; place Pigalle Ouest;;croisement;22/06/12
75009;74548;Boulevard de Clichy, boulevard de Rochechouart;Boulevard de Clichy; boulevard de Rochechouart;;croisement;04/05/12
75009;87208;Boulevard de Clichy, boulevard de Rochechouart;Boulevard de Clichy; boulevard de Rochechouart;;croisement;04/05/12
75009;15819;Boulevard de la Chapelle, boulevard Magenta;Boulevard de la Chapelle; boulevard Magenta;;croisement;24/08/12
75009;65899;Boulevard Haussmann, rue Halévy;Boulevard Haussmann; rue Halévy;;croisement;04/05/12
75009;95710;Boulevard Haussmann, rue Le Peletier;Boulevard Haussmann; rue Le Peletier;;croisement;13/04/12
75009;92563;Boulevard Poissonnière, rue du Sentier;Boulevard Poissonnière; rue du Sentier;;croisement;21/12/11
75009;95588;Boulevard Poissonnière, rue du Faubourg Montmartre;Boulevard Poissonnière; rue du Faubourg Montmartre;;croisement;09/03/12
75009;24660;Place Blanche, boulevard de Clichy, rue Lepic;Place Blanche; boulevard de Clichy; rue Lepic;croisement;inconnue
75009;35099;Place Blanche, boulevard de Clichy, rue de Bruxelles;Place Blanche; boulevard de Clichy; rue de Bruxelles;croisement;10/02/12
75009;46329;Place Charles Garnier, rue Auber, rue Scribe;Place Charles Garnier; rue Auber; rue Scribe;croisement;25/05/12
75009;20076;Place d'Anvers, avenue Trudaine;Place d'Anvers; avenue Trudaine;;croisement;08/06/12
75009;32213;Place d'Anvers, boulevard de Rochechouart;Place d'Anvers; boulevard de Rochechouart;;croisement;13/01/12
75009;25540;Place de l'Opéra, boulevard des Capucines;Place de l'Opéra; boulevard des Capucines;;croisement;13/04/12
75009;81422;Place Kossuth;;;;adresse imprécise;14/09/12
75009;48781;Place Pigalle, rue Jean-Baptiste Pigalle;Place Pigalle; rue Jean-Baptiste Pigalle;;croisement;03/02/12
75009;88620;Place Pigalle Est — boulevard de Clichy, rue Houdon;Place Pigalle Est — boulevard de Clichy; rue Houdon;;croisement;31/08/12
75009;09059;Rue Blanche, rue Jean-Baptiste Pigalle;Rue Blanche; rue Jean-Baptiste Pigalle;;croisement;25/08/16
75009;89791;Rue Clichy, rue de Moncey;Rue Clichy; rue de Moncey;;croisement;29/06/12
75009;64951;Rue de Caumartin, boulevard Haussmann;Rue de Caumartin; boulevard Haussmann;;croisement;13/04/12
75009;57584;Rue de Châteaudun, rue La Fayette;Rue de Châteaudun; rue La Fayette;;croisement;09/11/12
75009;81258;Rue de Châteaudun, rue Taitbout;Rue de Châteaudun; rue Taitbout;;croisement;31/05/13
75009;47183;Rue de Douai, place Adolphe Max;Rue de Douai; place Adolphe Max;;croisement;20/01/12
75009;59521;Rue de la Chaussée d'Antin, rue Halévy;Rue de la Chaussée d'Antin; rue Halévy;;croisement;04/05/12
75009;09060;Rue de la Rochefoucauld, rue d'Aumale;Rue de la Rochefoucauld; rue d'Aumale;;croisement;09/10/17
75009;10372;Rue de la Tour d'Auvergne, rue Milton;Rue de la Tour d'Auvergne; rue Milton;;croisement;09/11/12
75009;72329;Rue de Maubeuge, rue de Rochechouart;Rue de Maubeuge; rue de Rochechouart;;croisement;27/01/12
75009;61124;Rue de Rochechouart, avenue de Dunkerque;Rue de Rochechouart; avenue de Dunkerque;;croisement;09/03/12
75009;58520;Rue des Martyrs (pair), rue de la Tour d'Auvergne (pair);Rue des Martyrs (pair); rue de la Tour d'Auvergne (pair);;croisement;16/11/12
75009;25108;Rue Drouot, rue La Fayette, rue du Faubourg Montmartre;Rue Drouot; rue La Fayette; rue du Faubourg Montmartre;croisement;17/02/12
75009;55431;Rue Drouot, rue Rossini;Rue Drouot; rue Rossini;;croisement;03/02/12
75009;84503;Rue du Faubourg Montmartre, rue Montyon;Rue du Faubourg Montmartre; rue Montyon;;croisement;03/02/12
75009;27982;Rue du Faubourg Poissonnière, rue du Delta;Rue du Faubourg Poissonnière; rue du Delta;;croisement;19/06/15
75009;84772;Rue du Faubourg Poissonnière, rue Richer;Rue du Faubourg Poissonnière; rue Richer;;croisement;03/02/12
75009;84555;Rue Fontaine, rue de Douai;Rue Fontaine; rue de Douai;;croisement;15/06/12
75009;09062;Rue La Bruyère, rue Notre-Dame de Lorette;Rue La Bruyère; rue Notre-Dame de Lorette;;croisement;25/11/16
75009;17498;Rue La Fayette, rue Pierre Sémard;Rue La Fayette; rue Pierre Sémard;;croisement;09/05/14
75009;94663;Rue Lamartine, rue de Rochechouart;Rue Lamartine; rue de Rochechouart;;croisement;09/11/12
75009;13257;Rue Mayran, rue Rochambeau;Rue Mayran; rue Rochambeau;;croisement;11/01/12
75009;10756;Rue Pierre Fontaine, rue Jean-Baptiste Pigalle;Rue Pierre Fontaine; rue Jean-Baptiste Pigalle;;croisement;06/07/12
75009;33643;Rue Sainte-Cécile, rue Trévise;Rue Sainte-Cécile; rue Trévise;;croisement;21/12/11
75010;10070;5, rue Albert Camus;;;;adresse précise;20/12/16
75010;77612;Boulevard de la Chapelle, rue de Maubeuge;Boulevard de la Chapelle; rue de Maubeuge;;croisement;08/06/12
75010;75111;Boulevard de la Villette, rue La Fayette;Boulevard de la Villette; rue La Fayette;;croisement;03/08/12
75010;28234;Boulevard de Magenta, rue La Fayette;Boulevard de Magenta; rue La Fayette;;croisement;08/11/13
75010;72971;Boulevard de Magenta, rue de Nancy;Boulevard de Magenta; rue de Nancy;;croisement;05/10/12
75010;12116;Boulevard de Strasbourg, rue Saint-Laurent;Boulevard de Strasbourg; rue Saint-Laurent;;croisement;20/04/12
75010;55825;Boulevard de Strasbourg, rue du Château d'Eau;Boulevard de Strasbourg; rue du Château d'Eau;;croisement;28/09/12
75010;61135;Boulevard Magenta, rue Ambroise Paré;Boulevard Magenta; rue Ambroise Paré;;croisement;18/05/12
75010;65760;Boulevard Magenta, boulevard de Strasbourg;Boulevard Magenta; boulevard de Strasbourg;;croisement;13/04/12
75010;98051;Place de la République, rue du Faubourg du Temple;Place de la République; rue du Faubourg du Temple;;croisement;26/10/12
75010;32626;Place de Roubaix, boulevard de Magenta, rue de Dunkerque;Place de Roubaix; boulevard de Magenta; rue de Dunkerque;croisement;06/04/12
75010;86043;Place du Colonel Fabien, rue de la Grange aux Belles;Place du Colonel Fabien; rue de la Grange aux Belles;;croisement;11/05/12
75010;87526;Place Franz Liszt, rue La Fayette;Place Franz Liszt; rue La Fayette;;croisement;12/10/12
75010;25943;Place Johann Strauss, face à la rue deLancry;Place Johann Strauss; face à la rue deLancry;;croisement;15/06/12
75010;12884;Place Napoléon III;;;;adresse imprécise;13/04/12
75010;72791;Place Robert Desnos;;;;adresse imprécise;25/05/12
75010;66168;Place Sainte-Marthe;;;;adresse imprécise;27/04/12
75010;33253;Porte Saint-Martin;;;;adresse imprécise;27/07/12
75010;25626;Quai de Jemmapes, rue Alibert;Quai de Jemmapes; rue Alibert;;croisement;17/02/12
75010;50523;Quai de Jemmapes, rue des Ecluses Saint-Martin;Quai de Jemmapes; rue des Ecluses Saint-Martin;;croisement;20/04/12
75010;51230;Quai de Valmy, rue Lucien Sampaix, rue Recollet;Quai de Valmy; rue Lucien Sampaix; rue Recollet;croisement;17/02/12
75010;73562;Quai de Valmy, rue de Lancry;Quai de Valmy; rue de Lancry;;croisement;17/02/12
75010;30934;Quai Valmy, rue Beaurepaire, rue Marseille;Quai Valmy; rue Beaurepaire; rue Marseille;croisement;23/03/12
75010;22859;Rue de Chabrol;;;;adresse imprécise;20/01/12
75010;78368;Rue de Dunkerque, rue La Fayette;Rue de Dunkerque; rue La Fayette;;croisement;25/05/12
75010;10079;Rue de l'Aqueduc, rue du Chaudron;Rue de l'Aqueduc; rue du Chaudron;;croisement;07/04/17
75010;62163;Rue de la Grange aux Belles, rue des Ecluses Saint-Martin;Rue de la Grange aux Belles; rue des Ecluses Saint-Martin;;croisement;27/07/12
75010;37472;Rue de Paradis, rue du Faubourg Poissonnière;Rue de Paradis; rue du Faubourg Poissonnière;;croisement;22/06/12
75010;10067;Rue de Paradis, rue Martel;Rue de Paradis; rue Martel;;croisement;14/06/17
75010;37532;Rue de Sambre et Meuse, rue Sainte-Marthe;Rue de Sambre et Meuse; rue Sainte-Marthe;;croisement;13/01/12
75010;10080;Rue du Buisson-Saint-Louis, rue du Chalet;Rue du Buisson-Saint-Louis; rue du Chalet;;croisement;28/02/17
75010;61137;Rue du Château d'Eau, boulevard de Magenta;Rue du Château d'Eau; boulevard de Magenta;;croisement;21/09/12
75010;48813;Rue du Château Landon, rue Louis Blanc;Rue du Château Landon; rue Louis Blanc;;croisement;21/09/12
75010;27797;Rue du Faubourg du Temple, avenue Parmentier;Rue du Faubourg du Temple; avenue Parmentier;;croisement;19/10/12
75010;92421;Rue du Faubourg du Temple, boulevard de la Villette;Rue du Faubourg du Temple; boulevard de la Villette;;croisement;31/05/13
75010;75399;Rue du Faubourg Saint-Denis, rue Cail;Rue du Faubourg Saint-Denis; rue Cail;;croisement;25/05/12
75010;86066;Rue du Faubourg Saint-Denis, rue Demarquay;Rue du Faubourg Saint-Denis; rue Demarquay;;croisement;22/02/13
