Code postal;Numéro;Implantation;Rue croisement 1;Rue croisement 2;Rue croisement 3;Précision de l’implantation;Date de mise en service
75013;19286;Olympiades — Rome (accueil);;;;point décrit;18/01/13
75013;13700;Olympiades — Squaw Valley;;;;point décrit;18/01/13
75013;13105;Place Aurélie Nemours;;;;adresse imprécise;inconnue
75013;35012;Place Claude Bourdet, rue des Cordelières, rue Corvisart;Place Claude Bourdet; rue des Cordelières; rue Corvisart;croisement;21/12/11
75013;61371;Place d'Italie, côté avenue des Gobelins;Place d'Italie; côté avenue des Gobelins;;croisement;20/01/12
75013;66003;Place d'Italie, rue Bobillot, boulevard Auguste Blanqui;;;;point décrit;21/12/11
75013;81328;Place de Rungis — rue Barrault, rue Boussingault;Place de Rungis — rue Barrault; rue Boussingault;;croisement;09/03/12
75013;14765;Place de Vénétie;;;;adresse imprécise;25/01/13
75013;13106;Place Jean-Michel Basquiat — Avenue de France, rue Emile Durkheim;;;;point décrit;inconnue
75013;13107;Place Jean-Michel Basquiat — Promenade plantée;;;;point décrit;inconnue
75013;13412;Pont Charles de Gaulle, quai d'Austerlitz;Pont Charles de Gaulle; quai d'Austerlitz;;croisement;18/01/13
75013;79596;Pont d'Austerlitz amont — Seine;;;;point décrit;27/07/12
75013;73087;Pont d'Austerlitz aval — Seine;;;;point décrit;27/07/12
75013;84574;Pont de Bercy (amont) — Seine;;;;point décrit;19/10/12
75013;62347;Pont de Tolbiac, quai François Mauriac;Pont de Tolbiac; quai François Mauriac;;croisement;30/07/13
75013;70071;Pont National amont — Seine;;;;point décrit;21/12/12
75013;80562;Pont National aval — Seine;;;;point décrit;28/12/12
75013;62734;Porte d'Italie/périphérique;;;;point décrit;19/10/12
75013;13089;RG — Bédier Ilot Franc-Nohain;;;;point décrit;inconnue
75013;13110;Rue Ada Lovelace;;;;adresse imprécise;inconnue
75013;29435;Rue Albert, rue Jean Fautrier;Rue Albert; rue Jean Fautrier;;croisement;17/02/12
75013;13085;Rue Bobillot, place Paul Verlaine, rue Vandrezanne;Rue Bobillot; place Paul Verlaine; rue Vandrezanne;croisement;13/03/17
75013;13081;Rue Bourgon, rue du Moulin de la Pointe;Rue Bourgon; rue du Moulin de la Pointe;;croisement;30/11/16
75013;25765;Rue Cantagrel, rue Eugène Oudiné;Rue Cantagrel; rue Eugène Oudiné;;croisement;07/06/13
75013;13108;Rue Chevaleret, rue Alphonse Boudard, rue Charcot;Rue Chevaleret; rue Alphonse Boudard; rue Charcot;croisement;inconnue
75013;82224;Rue de la Colonie, rue de la Fontaine à Mulard;Rue de la Colonie; rue de la Fontaine à Mulard;;croisement;21/12/11
75013;97058;Rue de Tolbiac, rue Nationale;Rue de Tolbiac; rue Nationale;;croisement;19/10/12
75013;15476;Rue de Tolbiac, rue du Chevaleret;Rue de Tolbiac; rue du Chevaleret;;croisement;23/03/12
75013;12569;Rue des Frères d'Astier de la Vigerie, rue Simone Weil;Rue des Frères d'Astier de la Vigerie; rue Simone Weil;;croisement;01/06/12
75013;83092;Rue des Grands Moulins, rue Marie Andrée Lagroua Weil Hallé;Rue des Grands Moulins; rue Marie Andrée Lagroua Weil Hallé;;croisement;07/09/12
75013;15868;Rue des Peupliers, rue du docteur Tuffier;Rue des Peupliers; rue du docteur Tuffier;;croisement;07/09/12
75013;17197;Rue Docteur Magnan, rue Charles Moureu;Rue Docteur Magnan; rue Charles Moureu;;croisement;01/06/12
75013;13075;Rue du Château des Rentiers, rue Ricaut;Rue du Château des Rentiers; rue Ricaut;;croisement;01/08/16
75013;18332;Rue du Chevaleret, rue Clisson;Rue du Chevaleret; rue Clisson;;croisement;13/07/12
75013;13967;Rue du Colonel Dominé (Côté porte d'Italie);;;;point décrit;11/01/13
75013;47653;Rue du Dessous des Berges, rue Eugène Oudiné, rue de Patay;Rue du Dessous des Berges; rue Eugène Oudiné; rue de Patay;croisement;21/12/11
75013;13087;Rue Jean-Baptiste Berlier, allée Paris-Ivry;Rue Jean-Baptiste Berlier; allée Paris-Ivry;;croisement;inconnue
75013;47824;Rue Jeanne d'Arc, rue de Domrémy, rue de Patay;Rue Jeanne d'Arc; rue de Domrémy; rue de Patay;croisement;24/08/12
75013;67014;Rue Jeanne d'Arc, boulevard Saint-Marcel;Rue Jeanne d'Arc; boulevard Saint-Marcel;;croisement;25/05/12
75013;13103;Rue Louise Bourgeois, rue Julie Daubie;Rue Louise Bourgeois; rue Julie Daubie;;croisement;inconnue
75013;13076;Rue Patay, rue de Tolbiac;Rue Patay; rue de Tolbiac;;croisement;22/09/16
75013;28637;Rue Péan, boulevard Masséna;Rue Péan; boulevard Masséna;;croisement;18/01/13
75013;71821;Rue Regnault, rue du Château des Rentiers;Rue Regnault; rue du Château des Rentiers;;croisement;13/01/12
75013;46911;Rue Sainte-Hélène, rue de la poterne des Peupliers;Rue Sainte-Hélène; rue de la poterne des Peupliers;;croisement;19/10/12
75013;67390;Vis-à-vis du 90, rue de Tolbiac;;;;point décrit;01/06/12
75013;13091;ZAC Paul Bourget — arrière de la rue Bourget;;;;point décrit;inconnue
75013;13088;ZAC RG — Halle Freyssinet « douve » arrière créée;;;;point décrit;23/05/17
75013;13090;ZAC RG — Oudiné-Chevaleret;;;;point décrit;inconnue
75014;75264;10, boulevard Brune;;;;adresse précise;17/02/12
75014;61992;Avenue Adolphe Pinard, avenue de la Porte de Châtillon;Avenue Adolphe Pinard; avenue de la Porte de Châtillon;;croisement;07/09/12
75014;41203;Avenue de la Porte d'Orléans, boulevard Romain Rolland;Avenue de la Porte d'Orléans; boulevard Romain Rolland;;croisement;19/10/12
