Code postal;Numéro;Implantation;Date de mise en service
75008;8028;Place Rio de Janeiro — rue de Lisbonne, rue de Monceau;20/02/17
75008;8071;Avenue Matignon, rue de Ponthieu;26/12/17
75008;8096;Place de la Concorde, avenue Gabriel;13/07/18
75008;8102;Rue Rocher, rue de Laborde, rue Joseph Sansbœuf;06/09/18
75008;8105;Rue de La Boëtie, rue de Miromesnil;03/03/17
75008;8106; Rue du Faubourg Saint-Honoré, rue Jean Mermoz, rue du Colisée;21/02/18
75008;8107;Rue du Faubourg Saint-Honoré, avenue Matignon;07/04/17
75008;8112;Avenue des Champs-Elysées, rue la Boétie;
75008;8114;Avenue George V, rue François 1er;09/11/17
75008;8115;Avenue George V, rue Pierre 1er de Serbie;20/01/17
75008;8118;Rue Marbeuf, avenue George V;07/10/16
75008;8119;Rue François 1er, rue Marbeuf;13/11/18
75008;8122;Avenue Montaigne, rue du Boccador;20/02/17
75008;8123;Rue Jean Goujon, rue François 1er;20/02/17
75008;8126;Rue Laure Diebold, rue Louis de Funès;
75008;8127;Avenue du Faubourg Saint-Honoré, rue Laure Diebold;19/12/17
75008;8128;Rue du Rocher, rue de Monceau;06/10/16
75008;8129;Avenue Montaigne Nord, rue François 1er;23/03/17
75008;8130;Avenue Montaigne Sud, rue François 1er;16/02/17
75008;8131;49, avenue Montaigne;Début 2019
75008;8133;Avenue Montaigne, rue Bayard;01/10/18
75008;8134;Avenue Montaigne, rue Clément Marot;20/11/17
75008;8135;22, avenue Montaigne;06/12/17
75008;8137;1, avenue Montaigne;20/11/17
75008;8138;Avenue Montaigne, place de la Reine Astrid;20/11/17
75008;14075;35, avenue de Wagram;01/06/12
75008;14362;Obélisque, place de la Concorde;14/12/12
75008;14374;Avenue Churchill (face Grand Palais), Cours de la Reine;14/12/12
75008;16526;Avenue Franklin Roosevelt, Cours de la Reine;21/12/12
75008;18514;Boulevard des Batignolles, rue de Rome;03/02/12
75008;19898;Place de Dublin, rue de Saint-Petersbourg;21/12/11
75008;20103;Place des Ternes, avenue de Wagram;01/06/12
75008;20308;Rue de Berry, rue de Ponthieu;10/02/12
75008;20956;Boulevard Haussmann, avenue de Messine;29/03/13
75008;21989;Rue du Général Foy, rue de Naples;21/12/11
75008;22916;Avenue Van Dyck;09/03/12
75008;24626;Avenue des Champs-Elysées, rue de Berri;
75008;26821;Arc de Triomphe, avenue de Friedland;03/08/12
75008;27113;Avenue de Friedland, rue de Balzac;06/07/12
75008;31281;Rond-point des Champs-Elysées, avenue Matignon;03/02/12
75008;31609;Boulevard Malesherbes, rue de Mirosmenil;21/12/11
75008;33371;Place de l'Alma;02/03/12
75008;33613;Avenue des Champs Elysées, rue Galilée;20/01/12
75008;37958;Rue Royale, rue Saint-Honoré;21/09/12
75008;90317;Rue de Ponthieu, avenue Franklin Roosevelt;13/01/12
75008;91357;Place de la Madeleine, rue Tronchet;20/04/12
75008;94149;Place de la Concorde, avenue Gabriel;29/06/12
75008;96044;Avenue des Champs-Elysées, rue de Balzac;21/12/11
75008;96909;Rue de Tilsitt, avenue des Champs-Elysées;18/05/12
75008;97325;Place Charles de Gaulle — Terrasse immeuble Publicis;05/10/12
75008;97400;Avenue Wagram, rue de Tilsitt;15/06/12
75008;97502;Cours de la Reine, avenue Winston Churchill;21/12/12
75008;97602;Obélisque, place de la Concorde;21/12/12
75008;98601;Boulevard Haussmann, rue du Havre;25/05/12
75008;99944;Rue la Boétie, rue du Faubourg Saint-Honoré;29/06/12
75009;9027;Rue de Rochechouard, rue Condorcet;Début 2019
75009;9059;Rue Blanche, rue Jean-Baptiste Pigalle;25/08/16
75009;9060;Rue de la Rochefoucauld, rue d'Aumale;09/10/17
75009;9062;Rue La Bruyère, rue Notre-Dame de Lorette;25/11/16
75009;10372;Rue de la Tour d'Auvergne, rue Milton;09/11/12
75009;10756;Rue Pierre Fontaine, rue Jean-Baptiste Pigalle;06/07/12
75009;13257;Rue Mayran, rue Rochambeau;11/01/12
75009;15819;Boulevard de la Chapelle, boulevard Magenta;24/08/12
75009;17498;Rue La Fayette, rue Pierre Sémard;09/05/14
75009;20076;Place d'Anvers, avenue Trudaine;08/06/12
75009;21129;Place d'Estienne d'Orves, rue Saint-Lazare;19/10/12
75009;21230;Rue de la Victoire, rue Saint-Georges;11/05/12
75009;21487;Rue de Châteaudun, rue Saint-Georges;31/05/13
75009;23596;Place de l'Opéra, avenue de l'Opéra;13/04/12
75009;24660;Place Blanche, boulevard de Clichy, rue Lepic;
75009;25108;Rue Drouot, rue La Fayette, rue du Faubourg Montmartre;17/02/12
75009;25540;Place de l'Opéra, boulevard des Capucines;13/04/12
75009;27982;Rue du Faubourg Poissonnière, rue du Delta;19/06/15
75009;32213;Place d'Anvers, boulevard de Rochechouart;13/01/12
75009;33643;Rue Sainte-Cécile, rue Trévise;21/12/11
75009;34724;Rue Chauchat, rue Rossini;10/02/12
75009;35099;Place Blanche, boulevard de Clichy, rue de Bruxelles;10/02/12
75009;46329;Place Charles Garnier, rue Auber, rue Scribe;25/05/12
75009;47183;Rue de Douai, place Adolphe Max;20/01/12
75009;48781;Place Pigalle, rue Jean-Baptiste Pigalle;03/02/12
75009;49535;Boulevard de Clichy, place Pigalle Ouest;22/06/12
75009;55431;Rue Drouot, rue Rossini;03/02/12
75009;57584;Rue de Châteaudun, rue La Fayette;09/11/12
75009;58520;Rue des Martyrs (pair), rue de la Tour d'Auvergne (pair);16/11/12
75009;59521;Rue de la Chaussée d'Antin, rue Halévy;04/05/12
75009;61124;Rue de Rochechouart, avenue de Dunkerque;09/03/12
75009;64143;Rue de Provence, rue de Caumartin;19/10/12
75009;64951;Rue de Caumartin, boulevard Haussmann;13/04/12
75009;65899;Boulevard Haussmann, rue Halévy;04/05/12
75009;72329;Rue de Maubeuge, rue de Rochechouart;27/01/12
75010;30934;Quai Valmy, rue Beaurepaire, rue Marseille;23/03/12
75010;32626;Place de Roubaix, boulevard de Magenta, rue de Dunkerque;06/04/12
75010;32795;Rue La Fayette, rue Chabrol;19/12/14
75010;33253;Porte Saint-Martin;27/07/12
75010;37472;Rue de Paradis, rue du Faubourg Poissonnière;22/06/12
75010;37532;Rue de Sambre et Meuse, rue Sainte-Marthe;13/01/12
75010;38438;Rue du Faubourg Saint-Martin, rue du Château d'Eau;05/10/12
75010;42055;Boulevard de la Chapelle, rue du Faubourg Saint-Denis;08/06/12
75010;43214;Boulevard de Magenta, rue de Lancry;08/06/12
75010;45724;Rue du Faubourg Saint-Martin, rue du 8 mai 1945;06/07/12
75010;45873;Quai de Jemmapes, boulevard Jules Ferry;27/04/12
75010;48209;Quai de Valmy, rue Louis Blanc;09/03/12
75010;48813;Rue du Château Landon, rue Louis Blanc;21/09/12
75010;50523;Quai de Jemmapes, rue des Ecluses Saint-Martin;20/04/12
75010;51230;Quai de Valmy, rue Lucien Sampaix, rue Recollet;17/02/12
75010;55825;Boulevard de Strasbourg, rue du Château d'Eau;28/09/12
75010;56959;Rue du Faubourg Saint-Martin, boulevard de Magenta;19/10/12
75010;59687;Rue de Maubeuge, rue Ambroise Paré;08/06/12
75010;61135;Boulevard Magenta, rue Ambroise Paré;18/05/12
75010;61137;Rue du Château d'Eau, boulevard de Magenta;21/09/12
75010;62163;Rue de la Grange aux Belles, rue des Ecluses Saint-Martin;27/07/12
75010;65760;Boulevard Magenta, boulevard de Strasbourg;13/04/12
75010;66168;Place Sainte-Marthe;27/04/12
75010;70442;162, rue du Faubourg Saint-Martin;04/05/12
75010;72791;Place Robert Desnos;25/05/12
75010;72971;Boulevard de Magenta, rue de Nancy;05/10/12
