Code postal;Numéro;Implantation;Précision de l’implantation;Date de mise en service;lon;lat
75019;19067;Rue Botzaris, rue Fessart;croisement;06/07/12;2.3812652;48.8777126
75018;19071;Boulevard Barbès, boulevard de Rochechouart;croisement;07/09/12;2.3494771;48.8838548
75019;19081;Rue Euryale Dehaynin, rue Tandou;croisement;30/11/16;2.3783368;48.885713
75019;19082;Rue Gaston Rebuffat, rue de Kabylie;croisement;16/09/16;2.368182;48.8848334
75019;19084;Rue Bellot, rue d'Aubervilliers;croisement;16/12/16;2.3665468;48.8863964
75019;19103;Boulevard Macdonald, quai de la Gironde;croisement;17/08/16;2.3816695;48.8988761
75017;19182;Avenue de Saint-Ouen, avenue de Clichy;croisement;20/01/12;2.3255897;48.8874983
75004;19726;Rue Saint-Antoine, rue de Sévigné;croisement;03/02/12;2.3616775;48.855084
75012;19779;Boulevard Poniatowski, rue Claude Decaen;croisement;07/12/12;2.40219765;48.83340985
75013;19891;Place d'Italie, boulevard Vincent Auriol;croisement;21/12/11;2.35689036666667;48.8313813
75016;19892;Place d'Iéna, avenue d'Iéna;croisement;18/05/12;2.2940525;48.8649246
75020;20002;Rue de Bagnolet, rue des Balkans;croisement;23/05/17;2.4058065;48.8617912
75020;20039;Rue de Bagnolet, rue des Orteaux;croisement;21/12/16;2.398131;48.8570723
75020;20060;Rue Saint-Blaise, square des Cardeurs;croisement;22/09/16;2.4068875;48.8582
75020;20070;Rue des Frères Flavien, avenue du Docteur Gley;croisement;20/04/17;2.4120083;48.8767956
75016;20072;Avenue Victor Hugo, rue de Presbourg;croisement;22/06/12;2.2931356;48.8729720666667
75020;20075;Rue des Tourelles, passage des Tourelles;croisement;12/08/16;2.40456785;48.8747445
75020;20077;Rue Duris, rue des Cendriers;croisement;30/11/16;2.3875096;48.8657394
75020;20080;Rue Vitruve, rue des Orteaux;croisement;02/03/17;2.4022301;48.8565584
75007;20276;Rue Duroc, boulevard des Invalides;croisement;21/09/12;2.3157321;48.84826985
75005;20669;Boulevard Saint-Germain, quai de la Tournelle;croisement;13/04/12;2.3567895;48.8494029
75018;20728;Rue Lamarck, rue du Chevalier de la Barre;croisement;31/08/12;2.3445272;48.8875305
75002;20941;Place de la Bourse, rue Vivienne, rue Feydeau;croisement;24/02/12;2.34026636666667;48.8692109
75011;21067;Rue Oberkampf, boulevard de Belleville;croisement;27/07/12;2.3828597;48.8670053
75009;21129;Place d'Estienne d'Orves, rue Saint-Lazare;croisement;19/10/12;2.33179065;48.8762484
75009;21487;Rue de Châteaudun, rue Saint-Georges;croisement;31/05/13;2.3371321;48.8760607
75016;22575;Rue de la Pompe, avenue Henri Martin;croisement;24/08/12;2.27746;48.8640384
75002;22579;Rue Réaumur, boulevard de Sébastopol;croisement;20/07/12;2.3525252;48.86623205
75007;22580;Rue de Babylone, rue Barbet de Jouy;croisement;25/05/12;2.3171235;48.8517612
75019;22853;Rue Curial, rue Colette Magny;croisement;26/10/12;2.3751767;48.8955192
75019;22881;Boulevard Macdonald, quai de la Gironde;croisement;22/02/13;2.3816695;48.8988761
75003;23535;Rue du Temple, rue Rambuteau;croisement;13/01/12;2.3551551;48.8606548
75015;24120;Boulevard Victor, rue Lecourbe;croisement;inconnue;2.28099;48.8353559
75010;24512;Boulevard de Strasbourg, boulevard de Magenta;croisement;inconnue;2.3574362;48.87480355
75006;24647;Rue des Saints-Pères, boulevard Saint-Germain;croisement;inconnue;2.3304702;48.8544657
75009;24660;Place Blanche, boulevard de Clichy, rue Lepic;croisement;inconnue;2.33245035;48.8838686375
75009;25108;Rue Drouot, rue La Fayette, rue du Faubourg Montmartre;croisement;17/02/12;2.3409069;48.8750797
75020;25120;Rue des Amandiers, rue des Cendriers;croisement;27/04/12;2.3896527;48.8662972
75019;25240;Rue Compans, place des Fêtes;croisement;17/02/12;2.3937977;48.8774953
75019;25856;Rue de Crimée, avenue de Flandre;croisement;21/09/12;2.37673;48.890662
75018;25902;Rue René Binet, rue Fernand Labori;croisement;27/04/12;2.3423571;48.8992748
75017;26158;Boulevard de Courcelles, boulevard Malesherbes;croisement;28/06/13;2.3125429;48.8808474
75019;26293;Rue d'Alsace-Lorraine, rue Gaston Pinot;croisement;30/03/12;2.3922086;48.8834087
75006;26704;Rue d'Assas, rue de Rennes;croisement;21/09/12;2.3287367;48.8489755
75002;26709;Rue de Gramont, boulevard des Italiens;croisement;08/06/12;2.3370259;48.8714611
75010;26718;Rue Juliette Dodu, avenue Claude Vellefaux;croisement;10/02/12;2.3703336;48.8740351
75010;26787;Rue de Dunkerque, rue de Compiègne;croisement;13/04/12;2.35367165;48.88021005
75016;27200;Avenue de Versailles, boulevard Exelmans;croisement;15/06/12;2.26512986666667;48.8407685333333
75016;27296;Avenue de Versailles, boulevard Exelmans;croisement;15/06/12;2.26512986666667;48.8407685333333
